id;requester_id;addressee_id;status;performer_id
1;Strategist matrix vortals;Computers mesh SDD;PENDING;Reduced Bhutanese
2;Regional wireless;visionary;BLOCKED;Music visionary Silver
3;Tennessee Plastic;Tuvalu;ACCEPTED;IB Specialist
4;Keyboard Plastic Cambridgeshire;Plastic Tools RSS;BLOCKED;out-of-the-box Berkshire web-readiness
5;Analyst Arizona;Brunei USB;DECLINED;stable harness payment
6;Practical Toys;Ergonomic;ACCEPTED;benchmark
7;Extensions;invoice online Table;BLOCKED;Triple-buffered
8;Global Assurance;Cambridgeshire Generic;BLOCKED;clear-thinking
9;Data;Operations exploit;ACCEPTED;Junction bypass of
10;Investment copy;Pants orchid impactful;PENDING;neural array transitional
