id;school;degree;field_of_study;start_date;end_date;grade;activities;description
1;neural Cotton;morph;Communications Virginia;2021-04-09T16:15:52;2021-04-09T09:02:48;open-source Gorgeous Saudi;overriding Incredible;Regional Refined
2;Frozen Valleys;Island Indiana;standardization withdrawal Andorra;2021-04-08T19:07:23;2021-04-08T22:05:01;Plaza Global scale;experiences loyalty;communities
3;Fantastic deposit architect;Netherlands;Borders;2021-04-09T13:32:56;2021-04-08T21:17:34;withdrawal Analyst 24/7;Analyst;Car payment
4;Accountability Administrator generating;strategic Toys channels;Money;2021-04-09T00:32:01;2021-04-09T10:00:59;Concrete SSL reboot;Jamahiriya Small;e-business invoice Cambridgeshire
5;Tuna methodology Dynamic;Plastic 1080p;ivory;2021-04-09T13:51:11;2021-04-08T18:22:13;black Product;mobile;Kentucky Steel monitoring
6;virtual salmon Assistant;Account Credit benchmark;Island Operations;2021-04-09T08:29:33;2021-04-09T06:23:51;Mills Squares next-generation;Loan;Soap
7;Hat;Pizza;Gorgeous connecting green;2021-04-09T10:41:52;2021-04-09T05:18:11;impactful mobile Rubber;Maldives River Object-based;up Analyst
8;Granite Guiana;Soft Tala Lead;plum;2021-04-09T02:27:44;2021-04-09T04:50:09;Analyst HTTP Loan;blockchains ubiquitous transmit;auxiliary
9;Track;world-class facilitate;Forks;2021-04-09T14:40:58;2021-04-08T20:49:58;Tennessee Creative TCP;circuit indexing;multi-byte compress
10;Mobility Mexico;auxiliary Nakfa driver;Universal;2021-04-08T21:02:08;2021-04-09T13:32:39;Consultant Lead productize;Buckinghamshire;IB Books
